Categoria,Item,Valor,Quantidade
Limpeza,Sabao em po,6.28,2
Limpeza,Amaciante,1.96,1
Limpeza,Detergente,6.35,0
Limpeza,Agua sanitaria,6.86,4
Limpeza,Esponja de aco,5.42,8
Limpeza,Buchinha de pia,3.11,2
Limpeza,Sabao em pedra,8.07,3
Limpeza,Sabonete,4.95,2
Limpeza,Shampo,2.58,8
Limpeza,Condicionador,8.06,3
Limpeza,Desinfetante,1.91,8
Limpeza,Lustra moveis,8.47,4
Limpeza,Tira manchas,2.27,9
Limpeza,Limpa vidros,8.32,9
Limpeza,Alcool,7.64,7
Limpeza,Saco de lixo 30l,8.07,2
Limpeza,Saco de lixo 50l,6.63,8
Bebidas,Refrigerante 2l,5.98,0
Bebidas,Suco garrafa 1l,7.52,0
Bebidas,Suco caixinha 500ml,6.14,3
Bebidas,Suco sache,4.48,6
Bebidas,Leite integral litro,1.59,0
Bebidas,Leite desnatado litro,8.17,0
Alimentacao,Arroz 5kg,1.76,0
Alimentacao,Feijao 2kg,2.7,7
Alimentacao,Macarrao,6.25,9
Alimentacao,Extrato de tomate,5.2,3
Alimentacao,Molho de tomate,6.04,0
Alimentacao,Sal,7.27,2
Alimentacao,Acucar,3.02,0
Alimentacao,Achocolatado,8.95,5
Alimentacao,Bolacha,2.24,3
Alimentacao,Cafe,4.38,0
Alimentacao,Farofa pronta,9.82,2
Alimentacao,Fuba,3.45,3
Alimentacao,Farinha de trigo,4.36,6
Alimentacao,Farinha de milho,7.37,8
Alimentacao,Farinha de mandioca,7.31,8
Alimentacao,Sardinha,9.15,6
Alimentacao,Atum,5.9,1
Alimentacao,Maionese,4.4,6
Alimentacao,Molho de pimenta,9.01,5
Alimentacao,Ervilha,5.41,6
Alimentacao,Milho verde,7.01,9
Alimentacao,Seleta,7.92,7
Alimentacao,Doce de leite,9.12,6
Alimentacao,Goiabada,4.66,2
Alimentacao,Milho de pipoca,1.79,8
Alimentacao,Oleo de cozinha,2.01,8
Alimentacao,Leite em po,9.43,7
Alimentacao,Creme de leite,3.43,8
Alimentacao,Leite condensado,4.79,4
Alimentacao,Pao de forma,5.71,1
Hortifruti,Alface,7.82,4
Hortifruti,Couve,3.93,3
Hortifruti,Batata,8.36,1
Hortifruti,Tomate,7.66,9
Hortifruti,Cenoura,3.32,9
Hortifruti,Beterraba,4.55,0
Hortifruti,Chicoria,4.69,5
Hortifruti,Mandioca,4.58,6
Hortifruti,Chuchu,2.62,4
Hortifruti,Espinafre,7.58,9
Hortifruti,Banana,5.1,7
Hortifruti,Ovos,8.96,7
Hortifruti,Uva,8.34,3
Hortifruti,Abacate,8.87,3
Hortifruti,Mamao,7.23,7
Hortifruti,Melancia,8.13,0
Hortifruti,Melao,6.27,6
Hortifruti,Jilo,5.78,3
Hortifruti,Quiabo,4.96,5
Hortifruti,Salsa,5.0,8
Hortifruti,Cheiro verde,5.51,6
Hortifruti,Cebola,3.74,4
Carnes e Frios,Queijo Minas,8.14,2
Carnes e Frios,Queijo Mussarela,6.96,3
Carnes e Frios,Queijo outros,1.97,6
Carnes e Frios,Manteiga,7.15,4
Carnes e Frios,Margarina,2.94,5
Carnes e Frios,Iogurte,3.45,1
Carnes e Frios,Presunto,8.58,2
Carnes e Frios,Peixe,8.16,9
Carnes e Frios,Frango,3.5,5
Carnes e Frios,Carne vermelha,7.04,1
Carnes e Frios,Carne seca,6.6,5
Carnes e Frios,Salsicha,1.84,2
