Categoria,Item,Valor,Quantidade
Limpeza,Sabao em po,3.91,7
Limpeza,Amaciante,7.26,8
Limpeza,Detergente,7.2,9
Limpeza,Agua sanitaria,3.92,8
Limpeza,Esponja de aco,8.87,4
Limpeza,Buchinha de pia,3.85,3
Limpeza,Sabao em pedra,4.04,5
Limpeza,Sabonete,9.47,7
Limpeza,Shampo,2.38,9
Limpeza,Condicionador,5.9,0
Limpeza,Desinfetante,8.14,2
Limpeza,Lustra moveis,6.7,9
Limpeza,Tira manchas,9.7,8
Limpeza,Limpa vidros,7.46,1
Limpeza,Alcool,6.59,1
Limpeza,Saco de lixo 30l,2.26,0
Limpeza,Saco de lixo 50l,4.93,1
Bebidas,Refrigerante 2l,3.07,5
Bebidas,Suco garrafa 1l,5.53,4
Bebidas,Suco caixinha 500ml,1.68,7
Bebidas,Suco sache,4.63,5
Bebidas,Leite integral litro,8.93,5
Bebidas,Leite desnatado litro,9.07,0
Alimentacao,Arroz 5kg,3.56,9
Alimentacao,Feijao 2kg,9.36,8
Alimentacao,Macarrao,3.42,8
Alimentacao,Extrato de tomate,6.0,4
Alimentacao,Molho de tomate,4.01,4
Alimentacao,Sal,1.5,3
Alimentacao,Acucar,6.3,0
Alimentacao,Achocolatado,7.7,6
Alimentacao,Bolacha,8.25,6
Alimentacao,Cafe,9.87,2
Alimentacao,Farofa pronta,5.99,3
Alimentacao,Fuba,7.87,4
Alimentacao,Farinha de trigo,2.03,9
Alimentacao,Farinha de milho,9.17,4
Alimentacao,Farinha de mandioca,5.85,3
Alimentacao,Sardinha,3.17,6
Alimentacao,Atum,6.81,6
Alimentacao,Maionese,7.92,1
Alimentacao,Molho de pimenta,9.35,9
Alimentacao,Ervilha,8.95,4
Alimentacao,Milho verde,2.83,1
Alimentacao,Seleta,4.32,1
Alimentacao,Doce de leite,9.46,2
Alimentacao,Goiabada,9.32,9
Alimentacao,Milho de pipoca,7.24,0
Alimentacao,Oleo de cozinha,2.45,9
Alimentacao,Leite em po,6.17,8
Alimentacao,Creme de leite,2.78,4
Alimentacao,Leite condensado,8.21,4
Alimentacao,Pao de forma,2.22,6
Hortifruti,Alface,5.27,1
Hortifruti,Couve,4.34,3
Hortifruti,Batata,6.49,5
Hortifruti,Tomate,5.17,6
Hortifruti,Cenoura,4.61,9
Hortifruti,Beterraba,4.75,1
Hortifruti,Chicoria,2.02,6
Hortifruti,Mandioca,2.5,5
Hortifruti,Chuchu,6.82,7
Hortifruti,Espinafre,3.2,4
Hortifruti,Banana,9.08,6
Hortifruti,Ovos,7.37,5
Hortifruti,Uva,8.77,2
Hortifruti,Abacate,3.91,6
Hortifruti,Mamao,3.19,4
Hortifruti,Melancia,3.73,1
Hortifruti,Melao,9.31,8
Hortifruti,Jilo,3.12,7
Hortifruti,Quiabo,4.86,6
Hortifruti,Salsa,3.14,4
Hortifruti,Cheiro verde,2.46,0
Hortifruti,Cebola,9.31,1
Carnes e Frios,Queijo Minas,9.57,0
Carnes e Frios,Queijo Mussarela,3.03,7
Carnes e Frios,Queijo outros,9.59,2
Carnes e Frios,Manteiga,2.42,5
Carnes e Frios,Margarina,9.89,7
Carnes e Frios,Iogurte,5.76,3
Carnes e Frios,Presunto,9.88,5
Carnes e Frios,Peixe,3.93,6
Carnes e Frios,Frango,4.07,4
Carnes e Frios,Carne vermelha,9.26,8
Carnes e Frios,Carne seca,9.66,8
Carnes e Frios,Salsicha,3.48,5
