Categoria,Item,Valor,Quantidade
Limpeza,Sabao em po,3.44,8
Limpeza,Amaciante,3.69,3
Limpeza,Detergente,7.93,2
Limpeza,Agua sanitaria,2.89,6
Limpeza,Esponja de aco,8.43,0
Limpeza,Buchinha de pia,6.17,7
Limpeza,Sabao em pedra,6.05,9
Limpeza,Sabonete,4.02,6
Limpeza,Shampo,9.24,5
Limpeza,Condicionador,6.26,5
Limpeza,Desinfetante,8.05,6
Limpeza,Lustra moveis,9.33,3
Limpeza,Tira manchas,3.51,7
Limpeza,Limpa vidros,3.09,2
Limpeza,Alcool,6.65,2
Limpeza,Saco de lixo 30l,8.39,4
Limpeza,Saco de lixo 50l,6.01,2
Bebidas,Refrigerante 2l,6.35,5
Bebidas,Suco garrafa 1l,7.93,2
Bebidas,Suco caixinha 500ml,5.32,5
Bebidas,Suco sache,4.58,8
Bebidas,Leite integral litro,5.34,7
Bebidas,Leite desnatado litro,8.07,9
Alimentacao,Arroz 5kg,9.3,4
Alimentacao,Feijao 2kg,9.99,3
Alimentacao,Macarrao,9.17,2
Alimentacao,Extrato de tomate,3.66,0
Alimentacao,Molho de tomate,5.11,6
Alimentacao,Sal,4.93,0
Alimentacao,Acucar,8.7,2
Alimentacao,Achocolatado,5.09,6
Alimentacao,Bolacha,6.76,6
Alimentacao,Cafe,6.87,6
Alimentacao,Farofa pronta,2.85,6
Alimentacao,Fuba,3.24,1
Alimentacao,Farinha de trigo,3.34,8
Alimentacao,Farinha de milho,4.61,7
Alimentacao,Farinha de mandioca,8.44,4
Alimentacao,Sardinha,4.67,0
Alimentacao,Atum,2.48,8
Alimentacao,Maionese,9.47,5
Alimentacao,Molho de pimenta,3.85,5
Alimentacao,Ervilha,9.28,6
Alimentacao,Milho verde,9.54,3
Alimentacao,Seleta,4.7,3
Alimentacao,Doce de leite,7.68,3
Alimentacao,Goiabada,3.62,2
Alimentacao,Milho de pipoca,4.5,8
Alimentacao,Oleo de cozinha,4.9,0
Alimentacao,Leite em po,4.38,4
Alimentacao,Creme de leite,3.08,6
Alimentacao,Leite condensado,2.44,7
Alimentacao,Pao de forma,8.68,3
Hortifruti,Alface,7.61,1
Hortifruti,Couve,7.1,1
Hortifruti,Batata,2.64,0
Hortifruti,Tomate,3.33,0
Hortifruti,Cenoura,6.59,9
Hortifruti,Beterraba,3.48,7
Hortifruti,Chicoria,2.89,9
Hortifruti,Mandioca,4.89,7
Hortifruti,Chuchu,6.52,3
Hortifruti,Espinafre,6.38,1
Hortifruti,Banana,5.04,6
Hortifruti,Ovos,9.37,5
Hortifruti,Uva,3.04,7
Hortifruti,Abacate,4.38,3
Hortifruti,Mamao,6.57,8
Hortifruti,Melancia,4.2,2
Hortifruti,Melao,8.19,7
Hortifruti,Jilo,3.44,5
Hortifruti,Quiabo,4.34,8
Hortifruti,Salsa,7.98,1
Hortifruti,Cheiro verde,6.95,4
Hortifruti,Cebola,3.74,1
Carnes e Frios,Queijo Minas,5.35,7
Carnes e Frios,Queijo Mussarela,7.03,8
Carnes e Frios,Queijo outros,7.45,7
Carnes e Frios,Manteiga,6.03,4
Carnes e Frios,Margarina,9.5,7
Carnes e Frios,Iogurte,6.24,8
Carnes e Frios,Presunto,5.89,3
Carnes e Frios,Peixe,6.99,3
Carnes e Frios,Frango,8.77,6
Carnes e Frios,Carne vermelha,8.78,3
Carnes e Frios,Carne seca,6.89,1
Carnes e Frios,Salsicha,8.18,5
