Categoria,Item,Valor,Quantidade
Limpeza,Sabao em po,8.25,4
Limpeza,Amaciante,9.71,7
Limpeza,Detergente,7.99,8
Limpeza,Agua sanitaria,8.77,7
Limpeza,Esponja de aco,6.08,1
Limpeza,Buchinha de pia,4.07,0
Limpeza,Sabao em pedra,4.55,7
Limpeza,Sabonete,3.52,6
Limpeza,Shampo,9.29,0
Limpeza,Condicionador,2.52,5
Limpeza,Desinfetante,9.23,5
Limpeza,Lustra moveis,1.83,8
Limpeza,Tira manchas,2.24,8
Limpeza,Limpa vidros,6.67,1
Limpeza,Alcool,2.65,2
Limpeza,Saco de lixo 30l,9.2,7
Limpeza,Saco de lixo 50l,2.38,2
Bebidas,Refrigerante 2l,3.31,5
Bebidas,Suco garrafa 1l,7.66,9
Bebidas,Suco caixinha 500ml,7.12,5
Bebidas,Suco sache,3.33,9
Bebidas,Leite integral litro,6.09,2
Bebidas,Leite desnatado litro,6.86,8
Alimentacao,Arroz 5kg,9.28,5
Alimentacao,Feijao 2kg,6.03,4
Alimentacao,Macarrao,1.56,1
Alimentacao,Extrato de tomate,7.04,3
Alimentacao,Molho de tomate,6.21,2
Alimentacao,Sal,7.57,3
Alimentacao,Acucar,7.33,7
Alimentacao,Achocolatado,4.42,2
Alimentacao,Bolacha,8.0,5
Alimentacao,Cafe,7.4,1
Alimentacao,Farofa pronta,3.66,1
Alimentacao,Fuba,7.53,2
Alimentacao,Farinha de trigo,3.08,7
Alimentacao,Farinha de milho,8.57,4
Alimentacao,Farinha de mandioca,2.01,3
Alimentacao,Sardinha,7.8,1
Alimentacao,Atum,6.36,5
Alimentacao,Maionese,4.99,2
Alimentacao,Molho de pimenta,2.96,3
Alimentacao,Ervilha,5.66,4
Alimentacao,Milho verde,3.1,7
Alimentacao,Seleta,9.71,2
Alimentacao,Doce de leite,9.94,6
Alimentacao,Goiabada,6.56,1
Alimentacao,Milho de pipoca,3.13,0
Alimentacao,Oleo de cozinha,4.85,5
Alimentacao,Leite em po,3.85,3
Alimentacao,Creme de leite,6.72,0
Alimentacao,Leite condensado,4.74,4
Alimentacao,Pao de forma,5.69,6
Hortifruti,Alface,5.0,9
Hortifruti,Couve,2.6,5
Hortifruti,Batata,5.33,4
Hortifruti,Tomate,3.2,6
Hortifruti,Cenoura,4.02,4
Hortifruti,Beterraba,5.04,0
Hortifruti,Chicoria,8.42,3
Hortifruti,Mandioca,7.88,5
Hortifruti,Chuchu,9.77,1
Hortifruti,Espinafre,1.65,4
Hortifruti,Banana,6.57,4
Hortifruti,Ovos,1.66,8
Hortifruti,Uva,4.06,5
Hortifruti,Abacate,6.02,0
Hortifruti,Mamao,5.82,3
Hortifruti,Melancia,8.87,2
Hortifruti,Melao,4.53,2
Hortifruti,Jilo,4.26,2
Hortifruti,Quiabo,1.62,6
Hortifruti,Salsa,8.72,1
Hortifruti,Cheiro verde,5.12,9
Hortifruti,Cebola,7.48,1
Carnes e Frios,Queijo Minas,3.48,4
Carnes e Frios,Queijo Mussarela,1.69,9
Carnes e Frios,Queijo outros,5.43,2
Carnes e Frios,Manteiga,5.12,5
Carnes e Frios,Margarina,5.91,5
Carnes e Frios,Iogurte,2.71,4
Carnes e Frios,Presunto,2.17,7
Carnes e Frios,Peixe,3.84,8
Carnes e Frios,Frango,9.99,9
Carnes e Frios,Carne vermelha,7.59,2
Carnes e Frios,Carne seca,4.0,4
Carnes e Frios,Salsicha,6.55,0
